"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","W","GAA","SV%","SHO"
"*01unv*","Chris Carrozzi","(N/A)","G","G","219","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zqf*","Mac Carruth","(N/A)","G","G","220","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06uk4*","Carter Casey","(N/A)","G","G","221","FA","18","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*066c5*","Jaxon Castor","SEA","G","G","222","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05uww*","Anton Castro","(N/A)","G","G","223","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*064wp*","Luke Cavallin","BOS","G","G","224","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xuh*","Pierce Charleson","(N/A)","G","G","225","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06jh8*","Stephane Charlin","(N/A)","G","G","226","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xnd*","Tikhon Chayka","(N/A)","G","G","227","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05oxn*","Daniil Chechelev","CGY","G","G","228","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06awb*","Nick Chenard","TOR","G","G","229","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03afc*","Cole Cheveldave","(N/A)","G","G","230","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01spx*","Marc Cheverie","(N/A)","G","G","231","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01hw4*","Andy Chiodo","(N/A)","G","G","232","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04r0b*","Magnus Chrona","NSH","G","G","233","FA","25","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*02yc7*","Carsen Chubak","PHI","G","G","234","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05lui*","Calle Clang","ANA","G","G","235","FA","23","1,000,000","FA","0","5%","0%","0","0","0","0","0"
"*06c3y*","Damian Clara","ANA","G","G","236","Wags8210","21","0","MNR","0","9%","0%","0","0","0","0","0"
"*05uat*","Chase Clark","WSH","G","G","237","FA","23","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*01zs0*","Maxime Clermont","(N/A)","G","G","238","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06kr0*","Justen Close","(N/A)","G","G","239","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06loo*","Louka Cloutier","COL","G","G","240","FA","19","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*030bi*","Mike Condon","(N/A)","G","G","241","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02gvn*","Benjamin Conz","(N/A)","G","G","242","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03bmj*","Jordon Cooke","(N/A)","G","G","243","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06awj*","Reid Cooper","WSH","G","G","244","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zsb*","Mathieu Corbeil","VAN","G","G","245","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02z6h*","Jared Coreau","(N/A)","G","G","246","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*042wz*","Evan Cormier","FLA","G","G","247","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05o01*","Sebastian Cossa","DET","G","G","248","sweinste","23","0","MNR","0","33%","0%","0","0","0","0","0"
"*061ls*","Marco Costantini","(N/A)","G","G","249","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*071md*","Joseph Costanzo","PHI","G","G","250","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0648c*","Antoine Coulombe","(N/A)","G","G","251","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004jp*","Adam Courchaine","(N/A)","G","G","252","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06uz3*","Alexis Cournoyer","MTL","G","G","253","FA","20","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*01s6w*","Marco Cousineau","(N/A)","G","G","254","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06mhn*","Dawson Cowan","(N/A)","G","G","255","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031pe*","Evan Cowley","(N/A)","G","G","256","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05kdy*","Will Cranley","STL","G","G","257","FA","24","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*061lu*","Emmett Croteau","MTL","G","G","258","FA","22","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*03l39*","Marvin Cupper","(N/A)","G","G","259","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004mp*","John Curry","(N/A)","G","G","260","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*024zx*","Nicklas Dahlberg","(N/A)","G","G","263","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*066q3*","Gabriel D'Aigle","PIT","G","G","261","FA","19","1,000,000","FA","0","5%","0%","0","0","0","0","0"
"*02frf*","Paul Dainton","(N/A)","G","G","264","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*00468*","Taylor Dakers","(N/A)","G","G","265","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01cxj*","Matt Dalton","(N/A)","G","G","266","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02jxl*","Oscar Dansk","(N/A)","G","G","267","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0385u*","Scott Darling","(N/A)","G","G","268","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06aey*","Nathan Darveau","(N/A)","G","G","269","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06lky*","Matt Davis","SJS","G","G","270","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06c71*","Nathaniel Day","EDM","G","G","271","FA","21","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*0058j*","Mark Dekanich","PHI","G","G","274","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03sr3*","Collin Delia","EDM","G","G","275","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0275q*","Aaron Dell","(N/A)","G","G","276","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01nin*","Peter Delmas","(N/A)","G","G","277","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03wqk*","Vasili Demchenko","MTL","G","G","278","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06tal*","Louis-Antoine Denault","(N/A)","G","G","279","FA","19","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*003gt*","Adam Dennis","(N/A)","G","G","280","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01szg*","Nathan Deobald","(N/A)","G","G","281","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05y3f*","Drew DeRidder","NSH","G","G","272","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*027bk*","Jacob DeSerres","(N/A)","G","G","273","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*00qks*","Cedrick Desjardins","(N/A)","G","G","282","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*003q4*","Jeff Deslauriers","(N/A)","G","G","283","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05uda*","Emerik Despatie","(N/A)","G","G","284","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031od*","Philippe Desrosiers","MTL","G","G","285","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*043cp*","Stephen Dhillon","DET","G","G","286","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03ed8*","Alec Dillon","LAK","G","G","287","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*072b5*","Filipp Dolganov","(N/A)","G","G","288","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zus*","Louis Domingue","FLA","G","G","289","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*068yy*","Max Donoso","(N/A)","G","G","290","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04fh4*","Alex D'Orio","(N/A)","G","G","262","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06688*","Maxim Dorozhko","(N/A)","G","G","291","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02nq1*","Chris Driedger","WPG","G","G","292","FA","31","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*05gsu*","Zach Driscoll","(N/A)","G","G","293","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02wwe*","Alex Dubeau","(N/A)","G","G","294","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*003q5*","Devan Dubnyk","(N/A)","G","G","295","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0042o*","Jeremy Duchesne","(N/A)","G","G","296","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04ln3*","Anthony Dumont-Bouchard","(N/A)","G","G","297","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04xdx*","Derek Dun","(N/A)","G","G","298","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xug*","Vincent Duplessis","COL","G","G","299","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04obg*","Roman Durny","(N/A)","G","G","300","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06buj*","Adam Dybal","(N/A)","G","G","301","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*061l3*","Reid Dyck","(N/A)","G","G","302","FA","22","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*06qs9*","Kristoffer Eberly","(N/A)","G","G","303","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06pvv*","Kai Edmonds","(N/A)","G","G","304","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03i5r*","Ty Edmonds","(N/A)","G","G","305","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02451*","Patrick Ehelechner","PIT","G","G","306","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05ws2*","Rastislav Elias","(N/A)","G","G","307","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04qyu*","Jesper Eliasson","DET","G","G","308","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*066ku*","Austin Elliott","(N/A)","G","G","309","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0041j*","Brian Elliott","(N/A)","G","G","310","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004ay*","Julien Ellis","(N/A)","G","G","311","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03yk2*","Nick Ellis","(N/A)","G","G","312","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04r0t*","Zachary Emond","(N/A)","G","G","313","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01ve9*","Dennis Endras","(N/A)","G","G","314","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03d26*","Andrew Engelage","(N/A)","G","G","315","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01mz3*","Atte Engren","(N/A)","G","G","316","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*030vn*","Christian Engstrand","(N/A)","G","G","317","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*005j0*","Jhonas Enroth","(N/A)","G","G","318","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04an2*","Olle Eriksson Ek","(N/A)","G","G","319","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01fx6*","Joacim Eriksson","(N/A)","G","G","320","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06cdy*","Noah Erliden","(N/A)","G","G","321","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*061wd*","Dylan Ernst","(N/A)","G","G","322","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03ee5*","Hugo Fagerblom","FLA","G","G","323","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*00583*","Joe Fallon","UTA","G","G","324","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05y3j*","Ryan Fanti","TBL","G","G","325","FA","26","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*03arx*","Ryan Faragher","(N/A)","G","G","326","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*024zw*","Viktor Fasth","(N/A)","G","G","327","FA","43","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05twl*","Thibault Fatton","(N/A)","G","G","328","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04md9*","Justin Fazio","(N/A)","G","G","329","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03rjk*","Ivan Fedotov","CBJ","G","G","330","FA","29","1,000,000","FA","0","7%","0%","0","0","0","0","0"
"*06r3u*","Linards Feldbergs","PIT","G","G","331","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0258a*","Thomas Fenton","(N/A)","G","G","332","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04f2g*","Dylan Ferguson","(N/A)","G","G","333","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03rri*","Linus Fernstrom","(N/A)","G","G","334","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*060y8*","Vincent Filion","(N/A)","G","G","335","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04abh*","Andrei Filonenko","(N/A)","G","G","336","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03llr*","Charlie Finn","(N/A)","G","G","337","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*004ol*","Glenn Fisher","(N/A)","G","G","338","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03wpk*","Evan Fitzpatrick","(N/A)","G","G","339","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*072yc*","Josh Fleming","(N/A)","G","G","340","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03mh2*","Jack Flinn","LAK","G","G","341","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*065gd*","Logan Flodell","OTT","G","G","342","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06gnq*","Owen Flores","NSH","G","G","343","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03p6v*","Lukas Flueler","(N/A)","G","G","344","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0049p*","Todd Ford","(N/A)","G","G","345","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06jhf*","William Forsberg","(N/A)","G","G","346","FA","19","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02fpz*","Brian Foster","(N/A)","G","G","347","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01a1w*","Jeff Frazee","(N/A)","G","G","348","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04yl1*","Dominik Frodl","(N/A)","G","G","349","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06qqe*","Semyon Frolov","CAR","G","G","350","mcianfra","18","0","MNR","0","12%","0%","0","0","0","0","0"
"*02ycq*","Zach Fucale","(N/A)","G","G","351","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04l2j*","Kaden Fulcher","DET","G","G","352","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03zf4*","Dominik Furch","(N/A)","G","G","353","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06mqq*","Denis Gabdrakhmanov","FLA","G","G","354","FA","20","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*04ad8*","Parker Gahagen","(N/A)","G","G","355","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03afu*","Sergei Gaiduchenko","FLA","G","G","356","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*067yt*","Adam Gajan","CHI","G","G","357","HeatDady","21","0","MNR","0","13%","0%","0","0","0","0","0"
"*04mmn*","Matthew Galajda","(N/A)","G","G","358","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03bqk*","Stanislav Galimov","(N/A)","G","G","359","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xwq*","Vladimir Galkin","(N/A)","G","G","360","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06ims*","Dmitri Gamzin","NYI","G","G","361","Lsleeves","22","0","MNR","0","5%","0%","0","0","0","0","0"
"*06jhh*","Evan Gardner","CBJ","G","G","362","mertin","20","0","MNR","0","8%","0%","0","0","0","0","0"
"*03ano*","Emil Garipov","(N/A)","G","G","363","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03ycw*","Michael Garteig","(N/A)","G","G","364","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06owp*","Sebastian Gatto","(N/A)","G","G","365","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05rke*","Benjamin Gaudreau","MTL","G","G","366","FA","23","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*051xh*","Taylor Gauthier","PIT","G","G","367","FA","25","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*024j3*","Sergei Gayduchenko","(N/A)","G","G","368","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*024d7*","Marc-Antoine Gelinas","(N/A)","G","G","369","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02697*","Leonardo Genoni","(N/A)","G","G","370","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06hk8*","Carter George","LAK","G","G","371","nebsnave","19","0","MNR","0","18%","0%","0","0","0","0","0"
"*04gpz*","Alexandar Georgiev","(N/A)","G","G","372","FA","30","1,000,000","FA","0","5%","0%","0","0","0","0","0"
"*05tpu*","Kirill Gerasimyuk","FLA","G","G","373","FA","22","1,000,000","FA","0","3%","0%","0","0","0","0","0"
"*06ag4*","Dante Giannuzzi","(N/A)","G","G","374","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02b6s*","Chris Gibson","DAL","G","G","375","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04qzr*","Mitchell Gibson","WSH","G","G","376","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06mcz*","Marcus Gidlof","STL","G","G","377","FA","20","1,000,000","FA","0","5%","0%","0","0","0","0","0"
"*038ka*","Riley Gill","WSH","G","G","378","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04xco*","Mitch Gillam","(N/A)","G","G","379","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02nq0*","Jon Gillies","TOR","G","G","380","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03wlz*","Matt Ginn","(N/A)","G","G","381","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02y8y*","Gabriel Girard","(N/A)","G","G","382","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*005il*","Joel Gistedt","(N/A)","G","G","383","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0041o*","Jeff Glass","(N/A)","G","G","384","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06clr*","Olof Glifford","FLA","G","G","385","FA","21","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*03mgr*","Denis Godla","(N/A)","G","G","386","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06tdo*","Mans Goos","DAL","G","G","387","FA","18","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*03d27*","Lucas Gore","(N/A)","G","G","388","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05o6p*","Brock Gould","(N/A)","G","G","389","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03d05*","Luka Gracnar","(N/A)","G","G","390","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*048kr*","Mark Grametbauer","TBL","G","G","391","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06cg7*","William Gramme","(N/A)","G","G","392","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05oja*","Noah Grannan","(N/A)","G","G","393","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04ld2*","Alexis Gravel","MTL","G","G","394","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06cfe*","Charles-Edward Gravel","(N/A)","G","G","395","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05xc5*","Matthew Greenfield","CGY","G","G","396","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*038kb*","Scott Greenham","(N/A)","G","G","397","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*0046d*","Thomas Greiss","(N/A)","G","G","398","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*068jx*","Gustavs Davis Grigals","NSH","G","G","399","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02ia4*","Troy Grosenick","MIN","G","G","400","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031qa*","Kristers Gudlevskis","(N/A)","G","G","401","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06c9h*","Rudy Guimond","DET","G","G","402","FA","20","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*032de*","Louis-Philip Guindon","WSH","G","G","403","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03yln*","Jonas Gunnarsson","(N/A)","G","G","404","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05r1f*","Yegor Guskov","(N/A)","G","G","405","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01zsd*","Johan Gustafsson","(N/A)","G","G","406","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05ylc*","Mack Guzda","(N/A)","G","G","407","FA","25","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*051vy*","Carter Gylander","DET","G","G","408","FA","24","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*01meq*","Matt Hackett","(N/A)","G","G","409","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*051uz*","Ethan Haider","(N/A)","G","G","410","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*003ve*","Jaroslav Halak","(N/A)","G","G","411","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03eko*","Logan Halladay","(N/A)","G","G","412","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*043i9*","Niilo Halonen","(N/A)","G","G","413","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06i0b*","Freddie Halyk","(N/A)","G","G","414","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06md1*","Vojtech Hambalek","(N/A)","G","G","415","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02z8v*","Andrew Hammond","(N/A)","G","G","416","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*05u2s*","Patrik Hamrla","CAR","G","G","417","FA","22","1,000,000","FA","0","2%","0%","0","0","0","0","0"
"*060qe*","Darion Hanson","(N/A)","G","G","418","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*003ua*","Josh Harding","(N/A)","G","G","419","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06pzf*","Love Harenstam","STL","G","G","420","FA","19","1,000,000","FA","0","3%","0%","0","0","0","0","0"
"*06md7*","Martin Haronik","(N/A)","G","G","421","FA","19","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02ypm*","Eric Hartzell","(N/A)","G","G","422","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04m8y*","Samuel Harvey","(N/A)","G","G","423","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04m5n*","Henrik Haukeland","(N/A)","G","G","424","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*061ni*","Daniel Hauser","(N/A)","G","G","425","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*060y6*","Hugo Havelid","(N/A)","G","G","426","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03edy*","Hayden Hawkey","(N/A)","G","G","427","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03rxl*","Kyle Hayton","(N/A)","G","G","428","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*01nao*","Thomas Heemskerk","(N/A)","G","G","429","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02i59*","Cal Heeter","TOR","G","G","430","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06pdu*","Caleb Heil","TBL","G","G","431","FA","19","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*004jv*","Riku Helenius","TBL","G","G","432","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*060z0*","Christian Heljanko","(N/A)","G","G","433","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02b3x*","Magnus Hellberg","DAL","G","G","434","FA","35","1,000,000","FA","0","1%","0%","0","0","0","0","0"
"*066rf*","Alexander Hellnemo","(N/A)","G","G","435","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*042xn*","Jeremy Helvig","CAR","G","G","436","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06mj4*","Kam Hendrickson","(N/A)","G","G","437","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03mlt*","Liam Herbst","(N/A)","G","G","438","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*04lq5*","Christoffer Hernberg","(N/A)","G","G","439","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*03oyu*","Michael Herringer","(N/A)","G","G","440","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02t4q*","Zoltan Hetenyi","(N/A)","G","G","441","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*049nk*","Matt Hewitt","(N/A)","G","G","442","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*048w4*","Connor Hicks","DET","G","G","443","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06ce0*","Johnny Hicks","(N/A)","G","G","444","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*02ycd*","Jake Hildebrand","(N/A)","G","G","445","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*06y1z*","Max Hildebrand","(N/A)","G","G","446","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0"
"*031vb*","Brady Hjelle","(N/A)","G","G","447","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0"
